,date,Last,high,low,open,volume
237,2018-11-02 00:00:00+05:30,386.6,387.9,371.75,374.7,2557300
238,2018-11-05 00:00:00+05:30,399.15,405.45,381.3,387.9,2065266
239,2018-11-06 00:00:00+05:30,397.65,408,392.35,400,1231518
240,2018-11-07 00:00:00+05:30,403.6,406,397.35,400,279874
241,2018-11-09 00:00:00+05:30,401.35,405.95,397,402,1078490
242,2018-11-12 00:00:00+05:30,397.75,402.45,395.1,402.4,783559
243,2018-11-13 00:00:00+05:30,398.55,400.9,392,396.95,637189
244,2018-11-14 00:00:00+05:30,401.45,407.3,397.05,400.95,1334156
245,2018-11-15 00:00:00+05:30,397.8,402.7,395.15,402.7,570933
246,2018-11-16 00:00:00+05:30,393.4,399.6,391.7,397,941682
247,2018-11-19 00:00:00+05:30,384,392.95,380.25,392,1640501
248,2018-11-20 00:00:00+05:30,387.05,388.7,380.05,382,1285180
249,2018-11-21 00:00:00+05:30,390.2,393.8,382.25,387,1527245
250,2018-11-22 00:00:00+05:30,393.3,395,386.1,391.35,1025212
251,2018-11-26 00:00:00+05:30,396.15,397,388.7,396,1765005
252,2018-11-27 00:00:00+05:30,392.95,396.8,390,395.95,496422
253,2018-11-28 00:00:00+05:30,394.75,396,390.95,393.95,1584598
254,2018-11-29 00:00:00+05:30,392.7,396.65,392,395.1,566084
255,2018-11-30 00:00:00+05:30,396.7,400,392.55,393.3,606060
256,2018-12-03 00:00:00+05:30,398.65,400.15,392.8,396.95,828428
257,2018-12-04 00:00:00+05:30,398.7,400,392.55,397.1,770066
258,2018-12-05 00:00:00+05:30,396.6,398.65,392.5,394,1331974
259,2018-12-06 00:00:00+05:30,396.45,400.45,391.1,394.65,697313
260,2018-12-07 00:00:00+05:30,392.55,399,391,396,643910
261,2018-12-10 00:00:00+05:30,385.3,388.75,383.45,388,596400
262,2018-12-11 00:00:00+05:30,384.75,388.95,379.95,380,429483
263,2018-12-12 00:00:00+05:30,393.3,396.65,384.8,384.8,667544
264,2018-12-13 00:00:00+05:30,387.2,396.7,386,395,654908
265,2018-12-14 00:00:00+05:30,394.1,395,386.3,389,564640
266,2018-12-17 00:00:00+05:30,393.2,396.55,390.55,396.55,288405
267,2018-12-18 00:00:00+05:30,392.5,394.4,390.55,392.05,726131
268,2018-12-19 00:00:00+05:30,387.55,394.4,387,394.4,641305
269,2018-12-20 00:00:00+05:30,387.2,390.55,385.7,386.8,862497
270,2018-12-21 00:00:00+05:30,385.2,388,381.2,388,1139523
271,2018-12-24 00:00:00+05:30,385.1,387.7,383.25,385,1142259
272,2018-12-26 00:00:00+05:30,384.8,386.05,379.55,383,1277067
273,2018-12-27 00:00:00+05:30,390.6,394.5,385.6,386.7,862693
274,2018-12-28 00:00:00+05:30,387.35,393.4,384.5,391.4,935219
275,2018-12-31 00:00:00+05:30,387.15,389.4,385.6,388,380439
276,2019-01-01 00:00:00+05:30,386.4,388.9,385.1,387.8,244225
277,2019-01-02 00:00:00+05:30,391.15,392.5,385.1,385.95,401487
278,2019-01-03 00:00:00+05:30,391.3,395.5,389.5,392.65,391423
279,2019-01-04 00:00:00+05:30,393.5,394.95,387.75,392,484014
280,2019-01-07 00:00:00+05:30,393.05,395.4,390.1,394.5,346567
281,2019-01-08 00:00:00+05:30,394.7,396,389.2,392.9,391569
282,2019-01-09 00:00:00+05:30,396,398.45,391.5,392.7,815426
283,2019-01-10 00:00:00+05:30,406.7,409.35,395.05,396.65,1539299
284,2019-01-11 00:00:00+05:30,406.6,409.4,404,408.6,644793
285,2019-01-14 00:00:00+05:30,392.05,405.05,390.25,405.05,976187
286,2019-01-15 00:00:00+05:30,387.5,393.7,385.1,392.1,668054
287,2019-01-16 00:00:00+05:30,387.5,389.9,385.45,386.4,962874
288,2019-01-17 00:00:00+05:30,390.85,392.5,384.1,387.5,962821
289,2019-01-18 00:00:00+05:30,383.7,392.45,383,391,435544
290,2019-01-21 00:00:00+05:30,383.85,386.2,382,383.9,900424
291,2019-01-22 00:00:00+05:30,383.85,389.5,381.1,384.9,1365759
292,2019-01-23 00:00:00+05:30,373.35,389.5,371.25,385,1355788
293,2019-01-24 00:00:00+05:30,361.2,374.4,360.1,371.2,1229942
294,2019-01-25 00:00:00+05:30,359.4,368.75,357,363.95,1351651
295,2019-01-28 00:00:00+05:30,367.3,369.5,344.4,361,1405014
296,2019-01-29 00:00:00+05:30,360.3,366.5,357.7,366.45,793151
297,2019-01-30 00:00:00+05:30,370.4,372,358,362.3,943004
298,2019-01-31 00:00:00+05:30,371.6,374.5,363,373,892055
299,2019-02-01 00:00:00+05:30,375.45,377.15,368,372.85,854153
300,2019-02-04 00:00:00+05:30,376.2,377.95,370.6,372.55,572950
301,2019-02-05 00:00:00+05:30,376.25,377.3,370.6,375,387625
302,2019-02-06 00:00:00+05:30,369.6,377,367.7,376.25,489165
303,2019-02-07 00:00:00+05:30,368.4,372,367.1,370,974999
304,2019-02-08 00:00:00+05:30,365.05,372.8,363.55,368.3,308347
305,2019-02-11 00:00:00+05:30,356.6,366.35,351.25,365.8,693813
306,2019-02-12 00:00:00+05:30,353.35,360.3,351.35,355.3,495884
307,2019-02-13 00:00:00+05:30,359.25,361,354.6,355.5,345410
308,2019-02-14 00:00:00+05:30,359.5,361.7,353.55,358,922903
309,2019-02-15 00:00:00+05:30,358.5,361.95,354,356,645076
310,2019-02-18 00:00:00+05:30,350.6,362.8,349,359.45,433200
311,2019-02-19 00:00:00+05:30,346.8,354,346.05,351.7,345475
312,2019-02-20 00:00:00+05:30,346.3,349.75,345.75,348.6,480124
313,2019-02-21 00:00:00+05:30,356.85,357.7,346.25,347.4,546373
314,2019-02-22 00:00:00+05:30,362.5,364,356.15,358.35,487266
315,2019-02-25 00:00:00+05:30,354.6,364.9,354,362.95,480503
316,2019-02-26 00:00:00+05:30,353.7,355.75,346.35,351,619615
317,2019-02-27 00:00:00+05:30,350.05,357.5,348.05,355.3,429691
318,2019-02-28 00:00:00+05:30,352.25,356.25,348.15,351.85,1177853
319,2019-03-01 00:00:00+05:30,362.95,364,351.8,351.8,1162447
320,2019-03-05 00:00:00+05:30,376.3,379,360.1,360.1,1316987
321,2019-03-06 00:00:00+05:30,390.05,391.9,376.05,379.8,1444943
322,2019-03-07 00:00:00+05:30,391.1,394,384.3,390.6,912620
323,2019-03-08 00:00:00+05:30,391.7,393.9,385,389.1,408930
324,2019-03-11 00:00:00+05:30,390.5,392,385.3,391,1312055
325,2019-03-12 00:00:00+05:30,371.55,376.85,367.55,367.55,16596749
326,2019-03-13 00:00:00+05:30,366.15,370.85,365.3,367.5,21171413
327,2019-03-14 00:00:00+05:30,366.6,369.5,366.05,369.5,5356136
328,2019-03-15 00:00:00+05:30,370.1,372.25,366.25,367,7977181
329,2019-03-18 00:00:00+05:30,367.45,374.3,366.15,372,2776286
330,2019-03-19 00:00:00+05:30,364.15,368.85,362.5,368,3010431
331,2019-03-20 00:00:00+05:30,363.95,366.6,362.3,364,1211115
332,2019-03-22 00:00:00+05:30,363.05,367.45,361.55,364.3,1646283
333,2019-03-25 00:00:00+05:30,359.25,362.5,355.4,360.9,2130928
334,2019-03-26 00:00:00+05:30,369.55,370.25,361.05,362.2,4061590
335,2019-03-27 00:00:00+05:30,371.7,375.75,370.05,370.05,3879051
336,2019-03-28 00:00:00+05:30,371.55,373.2,368.1,371.95,1740501
337,2019-03-29 00:00:00+05:30,378.5,384.25,369.3,372.75,4830957
338,2019-04-01 00:00:00+05:30,383.85,387.5,377.15,378.2,2756796
339,2019-04-02 00:00:00+05:30,380.25,384.5,379.1,384.45,1180504
340,2019-04-03 00:00:00+05:30,384.65,391.85,379.15,380.6,3425894
341,2019-04-04 00:00:00+05:30,378.3,385.95,377.5,385.15,1219612
342,2019-04-05 00:00:00+05:30,386.2,388.45,380,380,1680426
343,2019-04-08 00:00:00+05:30,385.4,390,381.65,387.9,1769899
344,2019-04-09 00:00:00+05:30,381.75,386.35,378.6,386,1529577
345,2019-04-10 00:00:00+05:30,377.05,384.8,375.7,381.75,1968507
346,2019-04-11 00:00:00+05:30,394.1,397.45,373.6,378.65,5562186
347,2019-04-12 00:00:00+05:30,405.35,407,395.2,396.05,4538289
348,2019-04-15 00:00:00+05:30,405.45,408,400.4,407.4,1802086
